composition_id,title_id,type,tone,even_odd,group_id
50065,7737,Canticle,1,,20171
101081,7737,Canticle,1,,45230
48983,7737,Canticle,1,,20167
50530,7737,Canticle,1,,22535
50538,7737,Canticle,1,,20179
55800,7737,Canticle,1,,22740
55801,7737,Canticle,1,,22741
62409,7737,Canticle,1,,27133
24243,10176,Canticle,1,,8749
24245,10177,Canticle,1,,8820
741,13322,Canticle,1,,741
1820,13322,Canticle,1,,1820
4684,13322,Canticle,1,,4684
34637,13322,Canticle,1,,17903
53833,13322,Canticle,1,,23765
86593,13322,Canticle,1,,38031
99623,13322,Canticle,1,,44513
99370,13322,Canticle,1,,44377
79440,13322,Canticle,1,,34891
52738,17814,Canticle,1,,16815
79363,18269,Canticle,1,,19306
101150,18269,Canticle,1,,45273
100386,18269,Canticle,1,,44857
102165,31009,Canticle,1,,45822
49577,31009,Canticle,1,,21534
86005,2751,Canticle,2,both,43089
88314,7738,Canticle,2,both,38841
55479,2751,Canticle,2,even,24350
55427,2751,Canticle,2,even,24477
55363,2751,Canticle,2,even,24482
86082,2751,Canticle,2,even,37827
55480,5170,Canticle,2,even,7027
7027,5170,Canticle,2,even,24450
58292,5170,Canticle,2,even,25569
65053,5170,Canticle,2,even,28450
86011,5170,Canticle,2,even,30168
82642,5170,Canticle,2,even,36284
84339,5170,Canticle,2,even,37046
55364,5170,Canticle,2,even,45126
30113,7738,Canticle,2,even,16716
56947,7738,Canticle,2,even,25054
62645,7738,Canticle,2,even,27221
70548,7738,Canticle,2,even,30655
75651,7738,Canticle,2,even,33229
76729,7738,Canticle,2,even,33764
80756,7738,Canticle,2,even,35455
101011,7738,Canticle,2,even,45186
82013,7738,Canticle,2,even,35939
82002,7738,Canticle,2,even,35951
81994,7738,Canticle,2,even,35972
79526,7738,Canticle,2,even,34930
94645,7738,Canticle,2,even,41992
98151,7738,Canticle,2,even,43779
85578,7738,Canticle,2,even,37607
87601,7738,Canticle,2,even,38517
54964,18257,Canticle,2,even,7247
54965,18258,Canticle,2,even,24319
54969,18262,Canticle,2,even,24323
54975,18268,Canticle,2,even,6189
55428,18276,Canticle,2,even,24377
55429,18277,Canticle,2,even,7340
55481,18289,Canticle,2,even,24412
55482,18290,Canticle,2,even,24413
55483,18291,Canticle,2,even,24414
55484,18292,Canticle,2,even,7244
55749,18397,Canticle,2,even,7020
75072,23242,Canticle,2,even,32834
99676,7738,Canticle,2,odd,44533
99716,2751,Canticle,2,odd,44533
57604,2751,Canticle,2,odd,10378
58300,2751,Canticle,2,odd,25577
65052,2751,Canticle,2,odd,28449
82634,2751,Canticle,2,odd,36276
84305,2751,Canticle,2,odd,37045
86299,2751,Canticle,2,odd,37930
99974,2751,Canticle,2,odd,44676
86083,5170,Canticle,2,odd,35958
3401,7738,Canticle,2,odd,3401
11324,7738,Canticle,2,odd,10497
11326,7738,Canticle,2,odd,10499
47423,7738,Canticle,2,odd,22315
76213,7738,Canticle,2,odd,33541
76721,7738,Canticle,2,odd,33756
79138,7738,Canticle,2,odd,34610
88110,7738,Canticle,2,odd,38728
88293,7738,Canticle,2,odd,38817
88298,7738,Canticle,2,odd,38825
88306,7738,Canticle,2,odd,38833
92880,7738,Canticle,2,odd,41220
50056,7738,Canticle,2,odd,22323
62358,7738,Canticle,2,odd,27098
94638,7738,Canticle,2,odd,41984
98143,7738,Canticle,2,odd,43466
96550,7738,Canticle,2,odd,43100
85579,7738,Canticle,2,odd,37606
99727,18276,Canticle,2,odd,24854
1823,1590,Canticle,2,,1823
8920,1590,Canticle,2,,8920
53816,1590,Canticle,2,,23777
74224,1590,Canticle,2,,32381
78207,1590,Canticle,2,,34462
86525,1590,Canticle,2,,37998
21482,2751,Canticle,2,,6953
100381,2751,Canticle,2,,44846
99975,5170,Canticle,2,,3404
6953,5170,Canticle,2,,13765
99712,5170,Canticle,2,,24840
57602,5170,Canticle,2,,25243
86305,5170,Canticle,2,,37931
100387,5170,Canticle,2,,44858
1418,7738,Canticle,2,,1418
2074,7738,Canticle,2,,2074
3395,7738,Canticle,2,,3395
5345,7738,Canticle,2,,5345
5809,7738,Canticle,2,,5809
88367,7738,Canticle,2,,6955
6956,7738,Canticle,2,,6956
9178,7738,Canticle,2,,9178
19787,7738,Canticle,2,,13258
19795,7738,Canticle,2,,13266
19898,7738,Canticle,2,,13324
19931,7738,Canticle,2,,13344
20910,7738,Canticle,2,,13519
30112,7738,Canticle,2,,16715
30952,7738,Canticle,2,,16811
34515,7738,Canticle,2,,17886
36834,7738,Canticle,2,,18530
45197,7738,Canticle,2,,21426
51551,7738,Canticle,2,,22746
52283,7738,Canticle,2,,22965
52780,7738,Canticle,2,,23179
57879,7738,Canticle,2,,25361
65520,7738,Canticle,2,,28670
67542,7738,Canticle,2,,29468
72600,7738,Canticle,2,,31510
74930,7738,Canticle,2,,32755
74931,7738,Canticle,2,,32756
74932,7738,Canticle,2,,32757
74933,7738,Canticle,2,,32758
75272,7738,Canticle,2,,32960
75698,7738,Canticle,2,,33253
77656,7738,Canticle,2,,34182
80664,7738,Canticle,2,,34235
77750,7738,Canticle,2,,34238
78768,7738,Canticle,2,,34719
80903,7738,Canticle,2,,35537
81610,7738,Canticle,2,,35802
89200,7738,Canticle,2,,39326
89195,7738,Canticle,2,,39334
89205,7738,Canticle,2,,39342
89214,7738,Canticle,2,,39352
92472,7738,Canticle,2,,41071
92473,7738,Canticle,2,,41072
96793,7738,Canticle,2,,43211
101162,7738,Canticle,2,,45279
96693,7738,Canticle,2,,38624
48295,7738,Canticle,2,,20029
50066,7738,Canticle,2,,20172
101129,7738,Canticle,2,,45256
50531,7738,Canticle,2,,22536
50539,7738,Canticle,2,,20180
51539,7738,Canticle,2,,22742
56084,7738,Canticle,2,,22686
102580,7738,Canticle,2,,46042
41628,14809,Canticle,2,,20389
78204,23676,Canticle,2,,34459
86523,23676,Canticle,2,,37996
99709,30227,Canticle,2,,24855
102166,31010,Canticle,2,,45823
49578,31010,Canticle,2,,21535
79031,2582,Canticle,3,both,9897
88315,2582,Canticle,3,both,38842
88322,2754,Canticle,3,both,38849
100921,2582,Canticle,3,even,45127
55367,2754,Canticle,3,even,45127
30114,2582,Canticle,3,even,16717
56948,2582,Canticle,3,even,25055
69093,2582,Canticle,3,even,30169
70549,2582,Canticle,3,even,30656
70563,2582,Canticle,3,even,30662
76722,2582,Canticle,3,even,33757
80763,2582,Canticle,3,even,35463
98170,2582,Canticle,3,even,43473
82012,2582,Canticle,3,even,35940
81998,2582,Canticle,3,even,35962
81993,2582,Canticle,3,even,35973
79525,2582,Canticle,3,even,34931
94646,2582,Canticle,3,even,41993
98148,2582,Canticle,3,even,43776
98153,2582,Canticle,3,even,43775
85577,2582,Canticle,3,even,37608
55485,2753,Canticle,3,even,24354
55366,2753,Canticle,3,even,24484
55430,2753,Canticle,3,even,24485
55431,2754,Canticle,3,even,24355
58301,2754,Canticle,3,even,25578
65055,2754,Canticle,3,even,28452
82643,2754,Canticle,3,even,36285
84340,2754,Canticle,3,even,37047
86002,2754,Canticle,3,even,37810
54974,18267,Canticle,3,even,7245
55758,18400,Canticle,3,even,6207
64968,20703,Canticle,3,even,28392
75073,23243,Canticle,3,even,32835
100375,2753,Canticle,3,odd,44843
100376,2754,Canticle,3,odd,44843
3126,2582,Canticle,3,odd,3126
5384,2582,Canticle,3,odd,5384
11322,2582,Canticle,3,odd,10495
79131,2582,Canticle,3,odd,11169
34516,2582,Canticle,3,odd,17887
47424,2582,Canticle,3,odd,22316
62644,2582,Canticle,3,odd,27220
77387,2582,Canticle,3,odd,32945
75652,2582,Canticle,3,odd,33230
76175,2582,Canticle,3,odd,33522
76730,2582,Canticle,3,odd,33765
88111,2582,Canticle,3,odd,38729
88294,2582,Canticle,3,odd,38818
88299,2582,Canticle,3,odd,38826
92851,2582,Canticle,3,odd,41221
50057,2582,Canticle,3,odd,22324
62357,2582,Canticle,3,odd,27099
94639,2582,Canticle,3,odd,41985
98141,2582,Canticle,3,odd,43467
87600,2582,Canticle,3,odd,38516
99977,2753,Canticle,3,odd,3405
84449,2753,Canticle,3,odd,3762
