id,language
2096,Latin
2098,Latin
2100,Latin
2101,Latin
2102,Latin
2103,Latin
2104,Latin
2106,Latin
2107,Latin
2108,Latin
2109,Latin
2110,Latin
2111,Latin
2112,Latin
2113,Latin
2114,Latin
2115,Latin
2116,Latin
2120,Latin
2121,Latin
2122,Latin
2124,Latin
2126,Latin
2129,Latin
2130,Latin
2131,Latin
2133,Latin
2134,Latin
2136,Italian
2137,Latin
2138,Latin
2139,Latin
2140,Latin
2142,Italian
2143,Italian
2144,Italian
2145,Italian
2146,Latin
2147,Latin
2148,Latin
2149,Latin
2151,Latin
2153,Latin
2154,Latin
2155,Latin
2156,Latin
2158,Latin
2160,Italian
2161,Latin
2162,Latin
2163,Italian
2164,Latin
2166,Latin
2167,Latin
2168,Latin
2170,Latin
2172,Latin
2173,Latin
2174,Latin
2175,Latin
2176,Latin
2177,Latin
2179,Latin
2180,Latin
2181,Latin
2182,Latin
2185,Latin
2186,Latin
2188,Latin
2189,Latin
2191,Latin
2193,Latin
2195,Latin
2199,Latin
2200,Latin
2202,Latin
2203,Latin
2204,Latin
2205,Latin
2206,Latin
2207,Latin
2208,Latin
2209,Latin
2210,Latin
2213,Latin
2215,Latin
2216,Latin
2218,Latin
2220,Latin
2221,Latin
2222,Latin
2223,Latin
2224,Latin
2226,Latin
2231,Latin
2232,Latin
2233,Latin
2234,Latin
2235,Latin
2236,Latin
2237,Latin
2239,Latin
2241,Latin
2242,Latin
2243,Latin
2246,Latin
2247,Latin
2249,Latin
2251,Latin
2257,Latin
2258,Latin
2259,Latin
2261,Latin
2262,Latin
2263,Latin
2264,Latin
2265,Latin
2266,Latin
2267,Latin
2268,Latin
2269,Latin
2271,Latin
2272,Latin
2273,Latin
2274,Latin
2275,Latin
2276,Latin
2278,Latin
2281,Latin
2282,Latin
2283,Latin
2285,Latin
2286,Latin
2287,Latin
2290,Latin
2291,Latin
2292,Latin
2294,Latin
2295,Latin
2296,Latin
2298,Latin
2299,Latin
2301,Latin
2302,Latin
2303,Latin
2304,Latin
2306,Latin
2307,Latin
2309,Latin
2311,Latin
2312,French
2313,Latin
2314,Latin
2315,Latin
2317,Latin
2318,Latin
2319,Latin
2321,Latin
2322,Latin
2323,Latin
2324,Latin
2325,Latin
2326,Latin
2327,Latin
2328,Latin
2329,Latin
2330,Latin
2332,Latin
2333,Latin
2334,Latin
2336,Latin
2338,Latin
2340,Latin
2342,Latin
2343,Latin
2344,Latin
2346,Latin
2347,Latin
2348,Latin
2349,Latin
2350,Latin
2351,Latin
2352,Latin
2353,Latin
2354,Latin
2356,Latin
2357,Latin
2359,Latin
2360,Latin
2362,Latin
2363,Latin
2365,Latin
2366,Latin
2367,Latin
2368,Latin
2369,Latin
2370,Latin
2371,Latin
2373,Latin
2375,Latin
2377,Latin
2378,Latin
2379,Latin
2380,Latin
2382,Latin
2383,Latin
2386,Latin
2387,Latin
2388,Latin
2390,Latin
2391,Latin
2392,Latin
2393,Latin
2397,Latin
2398,Latin
2399,Latin
2402,Latin
2403,Latin
2404,Latin
2405,Latin
2410,Latin
2412,Latin
2414,Latin
2415,Latin
2416,Latin
2418,Latin
2419,Latin
2421,Latin
2423,Latin
2424,Latin
2428,Latin
2429,Latin
2431,Latin
2433,Latin
2435,French
2437,Latin
2438,Latin
2439,Latin
2440,Latin
2442,Italian
2443,Latin
2444,Latin
2445,Latin
2447,Latin
2448,Latin
2449,Latin
2451,Latin
2453,Latin
2457,Latin
2459,Latin
2460,Latin
2461,Latin
2462,Latin
2463,Latin
2464,Latin
2465,Latin
2466,Latin
2467,Latin
2468,Latin
2470,Latin
2472,Latin
2474,Latin
2475,Latin
2477,Latin
2478,Latin
2479,Latin
2480,Latin
2481,Latin
2487,Latin
2488,Latin
2492,Latin
2493,Latin
2495,Latin
2496,Latin
2497,Latin
2499,Latin
2500,Latin
2501,Latin
2502,Latin
2503,Latin
2504,Latin
2505,Latin
2506,Latin
2507,Latin
2508,Latin
2509,Latin
2510,Latin
2511,Latin
2512,Latin
2514,Latin
2515,Latin
2516,Latin
2518,Latin
2519,Latin
2520,Latin
2521,Latin
2522,Latin
2523,Latin
2524,Latin
2526,Latin
2527,Latin
2528,Latin
2530,Latin
2532,Latin
2533,Latin
2534,Latin
2538,Latin
2541,Latin
2543,Latin
2545,Latin
2546,Latin
2547,Latin
2548,Latin
2550,Latin
2553,Latin
2554,Latin
2555,Latin
2556,Latin
2557,Latin
2558,Latin
2559,Latin
2560,Latin
2561,Latin
2562,Latin
2563,Latin
2564,Latin
2565,Latin
2566,Latin
2567,Latin
2568,Latin
2569,Latin
2570,Latin
2571,Latin
2572,Latin
2573,German
2574,Latin
2575,Latin
2576,Latin
2577,Latin
2580,Latin
2582,Latin
2591,Latin
2592,Latin
2593,Latin
2594,Latin
2595,Latin
2596,Latin
2597,Latin
2598,Latin
2599,Latin
2600,Latin
2602,Latin
2603,Latin
2604,Latin
2606,Latin
2607,Latin
2608,Latin
2609,Latin
2610,Latin
2611,Latin
2612,Latin
2613,Latin
2614,Latin
2615,Latin
2617,Latin
2618,Latin
2619,Latin
2620,Latin
2621,Latin
2622,Latin
2623,Latin
2624,Latin
2629,Latin
2630,Latin
2631,Latin
2632,Latin
2633,Latin
2634,Latin
2635,Latin
2636,Latin
2637,Latin
2638,Latin
2639,Latin
2641,Latin
2647,Latin
2648,Latin
2649,Latin
2654,Latin
2657,Latin
2659,Latin
2660,Latin
2661,Latin
2663,Latin
2664,Latin
2667,Latin
2668,Latin
2671,Latin
2672,Latin
2673,Latin
2674,Latin
2675,Latin
2676,Latin
2677,Latin
2678,Latin
2679,Latin
2680,Latin
2681,Latin
2682,Latin
2686,Latin
2688,Latin
2689,Latin
2690,Latin
2692,Latin
2693,Latin
2697,Latin
2698,Latin
2699,Latin
2703,Latin
2705,Latin
2706,Latin
2707,Latin
2708,Latin
2709,Latin
2710,Latin
2713,Latin
2714,Latin
2716,Latin
2717,Latin
2718,Latin
2719,Latin
2720,Latin
2721,Latin
2722,Latin
2723,Latin
2724,Latin
2725,Latin
2726,Latin
2727,Latin
2728,Latin
2729,Latin
2730,Latin
2731,Latin
2732,Latin
2733,Latin
2734,Latin
2735,Latin
2737,Latin
2738,Latin
2739,Latin
2740,Latin
2741,Latin
2742,Latin
2743,Latin
2745,Latin
2746,Latin
2748,Latin
2749,Latin
2750,Latin
2751,Latin
2753,Latin
2754,Latin
2755,Latin
2756,Latin
2757,Latin
2764,Latin
2765,Latin
2767,Latin
2770,Latin
2773,textless
2780,Latin
2782,Latin
2783,Latin
2785,Latin
2786,Latin
2787,Latin
2788,Latin
2789,Latin
2791,Latin
2792,Latin
2795,Latin
2796,Latin
2797,Latin
2798,Latin
2799,Latin
2800,Latin
2801,Latin
2806,Latin
2807,Latin
2808,Latin
2810,Latin
2811,Latin
2812,Latin
2813,Latin
2814,French
2815,Latin
2816,Latin
2817,Latin
2821,Latin
2822,Latin
2825,Latin
2826,Latin
2827,Latin
2828,Latin
2829,Latin
2830,Latin
2831,Latin
2832,Latin
2833,Latin
2834,Latin
2835,Latin
2836,Latin
2837,Latin
2838,Latin
2839,Latin
2840,Latin
2841,Latin
2842,Latin
2843,Latin
2844,Latin
2846,Latin
2847,Latin
2848,Latin
2849,Latin
2852,Latin
2854,Latin
2856,Latin
2858,Latin
2859,Latin
2860,Latin
2861,Latin
2862,Latin
2863,Latin
2864,Latin
2865,Latin
2866,Latin
2867,Latin
2869,Latin
2870,Latin
2871,Latin
2873,Latin
2874,Latin
2875,Latin
2876,Latin
2877,Latin
2878,Latin
2879,Latin
2880,Latin
2881,Latin
2882,Latin
2883,Latin
2884,Latin
2885,Latin
2887,Latin
2888,Latin
2889,Latin
2891,Latin
2892,Latin
2893,Latin
2894,Latin
2897,Latin
2898,Latin
2899,Latin
2900,German
2901,German
2902,German
2903,German
2904,German
2905,German
2906,German
2907,German
2908,Latin
2909,Latin
2910,Latin
2911,Italian
2912,Latin
2913,Latin
2914,Latin
2915,Latin
2917,Latin
2919,Latin
2920,Latin
2921,Latin
2922,Latin
2923,German
2924,German
2925,German
2926,Latin
2928,Latin
2929,Latin
2931,Latin
2933,Latin
2934,Latin
2935,German
2936,Latin
2937,Latin
2938,Latin
2939,Latin
2940,Latin
2941,Latin
2942,German
2943,Latin
2944,Latin
2945,Latin
2946,Latin
2947,Latin
2948,Latin
2949,Latin
2951,Latin
2952,Latin
2953,Latin
2955,Latin
2957,Latin
2961,Latin
2962,French
2963,Latin
2964,textless
2965,textless
2966,Latin
2968,Latin
2971,Latin
2972,Latin
2973,Latin
2974,Latin
2976,Latin
2977,Latin
2979,Latin
2980,Latin
2981,Latin
2982,Latin
2983,Latin
2984,Latin
2985,Latin
2986,Latin
2987,Latin
2988,Latin
2989,Latin
2992,Latin
2993,Latin
2994,Latin
2995,Latin
2996,Latin
2997,Latin
2998,Latin
3001,Latin
3002,Latin
3003,Latin
3004,Latin
3005,Latin
3006,Latin
3007,Latin
3010,Latin
3012,Latin
3014,Latin
3015,Latin
3016,Latin
3018,Latin
3019,Latin
3022,Latin
3023,Latin
3024,Latin
3026,Latin
3027,Latin
3029,Latin
3030,Latin
3031,Latin
3034,Latin
3035,Latin
3040,Latin
3042,German
3043,Latin
3044,Latin
3045,Latin
3046,Latin
3048,Latin
3049,Latin
3050,Latin
3051,Latin
3054,Latin
3055,Latin
3056,Latin
3057,Latin
3058,Latin
3059,Latin
3060,Latin
3061,Latin
3063,Latin
3064,Latin
3065,Latin
3066,Latin
3067,Latin
3068,Latin
3069,Latin
3070,Latin
3071,Latin
3072,Latin
3073,Latin
3075,Latin
3076,Latin
3077,Latin
3078,Latin
3079,Latin
